Connected to the server
Starting a file (upload.txt) upload...
received ack: 8220084: from the server
received ack: 409034: from the server
received ack: 6091720: from the server
received ack: 7467550: from the server
received ack: 1493894: from the server
received ack: 3901504: from the server
received ack: 9981652: from the server
received ack: 6996174: from the server
received ack: 2788198: from the server
received ack: 8278094: from the server
received ack: 3403890: from the server
received ack: 7075438: from the server
received ack: 8219286: from the server
received ack: 6244692: from the server
received ack: 3500284: from the server
received ack: 3064526: from the server
received ack: 7431952: from the server
received ack: 3028074: from the server
received ack: 4598750: from the server
received ack: 7522438: from the server
received ack: 4058960: from the server
received ack: 4064142: from the server
received ack: 8453470: from the server
received ack: 505428: from the server
received ack: 5749332: from the server
received ack: 3784066: from the server
received ack: 4681102: from the server
received ack: 7392780: from the server
received ack: 3940824: from the server
received ack: 7317488: from the server
received ack: 4003292: from the server
received ack: 4717490: from the server
received ack: 5954080: from the server
received ack: 8333502: from the server
received ack: 3622668: from the server
received ack: 7704862: from the server
received ack: 2531542: from the server
received ack: 7316822: from the server
received ack: 8520342: from the server
received ack: 3709680: from the server
received ack: 7714206: from the server
received ack: 824672: from the server
received ack: 1643550: from the server
received ack: 4024516: from the server
received ack: 8377850: from the server
received ack: 3518438: from the server
received ack: 8454884: from the server
received ack: 5503724: from the server
received ack: 8910170: from the server
received ack: 2476044: from the server
received ack: 9626976: from the server
received ack: 8704456: from the server
received ack: 6830916: from the server
received ack: 3303274: from the server
received ack: 6322586: from the server
received ack: 4413834: from the server
received ack: 1032850: from the server
received ack: 6791282: from the server
received ack: 4637826: from the server
received ack: 6851236: from the server
received ack: 3518038: from the server
received ack: 5412138: from the server
received ack: 6195276: from the server
received ack: 8111670: from the server
received ack: 9817592: from the server
received ack: 6975460: from the server
received ack: 8362722: from the server
received ack: 1491736: from the server
received ack: 2570642: from the server
received ack: 7935262: from the server
received ack: 2102960: from the server
received ack: 3835796: from the server
received ack: 4955832: from the server
received ack: 4304428: from the server
received ack: 7192182: from the server
received ack: 9373834: from the server
received ack: 3107022: from the server
received ack: 4708328: from the server
received ack: 3091928: from the server
received ack: 421568: from the server
received ack: 6123130: from the server
received ack: 4979010: from the server
received ack: 1897764: from the server
received ack: 2098012: from the server
received ack: 189020: from the server
received ack: 1541436: from the server
received ack: 4354262: from the server
received ack: 9135212: from the server
received ack: 1415718: from the server
received ack: 5566902: from the server
